Wafer_ID,Yield_Pct,Defect_Density,Temperature_C,Pressure_kPa,Process_Time_Min,Thickness_nm
W00000,98.218,0.0202,345.4393,97.7193,103.0159,503.3232
W00001,67.2515,0.0388,374.1184,110.8891,129.8272,546.3241
W00002,68.6898,1.9893,376.5888,113.9798,136.4434,551.0805
W00003,86.5807,0.0606,354.1376,100.9821,115.8769,524.4589
W00004,75.9613,0.785,359.1484,100.2361,124.3587,526.8419
W00005,82.4528,0.5167,362.6981,105.3534,128.6865,544.1864
W00006,99.4527,0.0383,339.4588,94.0073,115.2819,504.8877
W00007,82.2382,0.726,362.4537,105.2259,123.0949,526.7296
W00008,90.4159,1.1397,356.9254,100.2106,114.101,510.3168
W00009,91.0615,0.0208,347.9854,98.3837,111.5405,506.8416
W00010,80.7662,1.296,367.0034,105.2383,125.3953,546.5671
W00011,83.5597,0.8247,358.8279,107.2657,114.6369,562.2447
W00012,87.7797,0.0121,353.9086,104.3864,125.3601,520.7369
W00013,93.1694,0.0389,341.7599,96.5992,111.9323,512.6936
W00014,95.4141,0.1729,343.4365,98.0208,101.7347,495.5257
W00015,90.9693,0.1512,360.8505,100.7142,119.4059,529.7424
W00016,87.6733,0.2454,353.9199,103.4264,114.0097,521.0534
W00017,91.5713,0.1938,354.7698,99.3388,125.3112,518.0318
W00018,98.0289,0.3377,347.1487,98.5684,107.8402,500.742
W00019,99.6186,0.0072,343.6795,98.0733,112.6806,482.9983
W00020,85.3563,0.0451,346.8478,99.0402,118.5821,540.421
W00021,87.5703,0.312,349.7934,103.9468,110.9938,533.3113
W00022,69.4476,0.4951,373.7208,108.6476,133.714,554.714
W00023,97.0558,0.0208,350.7468,95.559,115.9926,503.1752
W00024,68.3324,3.2896,373.8178,107.755,133.0697,557.9176
W00025,84.037,0.0248,352.2283,100.2697,109.8393,528.5832
W00026,92.2661,0.0083,336.0679,96.3604,115.1377,504.8809
W00027,87.3829,0.1921,355.4186,103.0804,108.1115,522.7401
W00028,90.7856,0.0639,347.4335,105.9521,119.1354,513.5634
W00029,82.672,0.0455,351.5826,102.1375,118.3046,520.0249
W00030,70.7857,3.1329,372.0472,110.3947,131.2021,548.6672
W00031,63.7186,0.2018,369.3349,115.5434,129.4089,548.0343
W00032,83.4726,0.4193,364.6298,106.7746,125.1945,539.9632
W00033,88.7209,0.0177,360.3382,103.8128,108.2345,531.5481
W00034,88.2986,0.0214,353.5257,100.4392,113.5308,514.8515
W00035,81.9901,0.1636,358.8566,107.9997,126.3836,544.2918
W00036,99.8946,0.0662,345.2853,100.2109,116.3798,494.6728
W00037,79.9448,1.2765,365.44,104.5464,134.2254,551.849
W00038,73.6844,0.6367,356.3277,110.0503,128.5434,531.4947
W00039,92.9346,0.0768,358.4352,99.6852,122.7324,524.7417
W00040,88.6182,0.2514,351.6871,101.7764,126.9211,534.0242
W00041,92.9646,0.0805,345.5026,97.4198,110.4075,504.5822
W00042,81.5947,0.7338,366.2113,105.0059,126.9086,550.4219
W00043,87.5476,0.1972,356.3447,99.4934,121.8718,522.1874
W00044,75.7043,2.1496,369.1176,108.0058,129.4007,529.8611
W00045,76.2206,0.9088,365.6684,104.505,125.4754,532.0158
W00046,94.0489,0.4162,346.8056,102.3623,119.0885,517.2423
W00047,65.4929,1.9448,376.1951,106.9733,134.8872,571.4987
W00048,95.4178,0.0509,345.6618,99.5347,124.7653,489.1374
W00049,93.2052,0.0631,352.1098,100.1269,119.5932,521.7323
W00050,78.0164,0.6828,366.3615,107.0953,123.524,556.1667
W00051,80.9892,0.118,365.6735,105.5969,132.9775,542.7238
W00052,72.5689,0.0737,366.9234,107.1531,125.7002,546.2897
W00053,89.825,0.1132,358.6791,103.3834,117.4852,525.6015
W00054,95.553,0.0296,342.0952,96.1273,115.314,498.5235
W00055,69.4014,1.3121,367.7845,112.5152,139.5769,565.5255
W00056,67.9238,0.4058,371.9704,107.3789,139.37,547.6963
W00057,65.4131,1.351,365.7964,109.7258,145.4816,549.9248
W00058,95.1289,0.0773,350.0522,102.5148,120.1867,500.8185
W00059,91.4032,0.0399,363.6394,103.8105,112.1442,506.9909
W00060,64.6096,0.2595,374.5265,109.1503,129.3871,554.5521
W00061,100.0879,0.1785,349.6599,94.4792,112.749,493.0836
W00062,70.0153,2.2633,372.8223,106.1913,138.9146,539.2917
W00063,72.7716,1.7979,366.7416,104.0896,126.6353,524.3649
W00064,71.6894,0.7725,368.5241,109.9043,140.5145,542.9472
W00065,64.369,1.1826,371.7836,110.873,134.9364,561.7634
W00066,80.8981,0.0981,362.1067,105.0601,130.3169,538.3249
W00067,82.8248,0.4693,360.9432,106.7561,116.5903,546.4319
W00068,98.964,0.0383,340.3294,100.0471,112.2069,500.4279
W00069,62.5139,0.9272,371.3948,106.0721,141.5619,547.0684
W00070,79.3749,0.2458,363.3333,105.0356,122.488,541.7111
W00071,91.7057,0.9872,346.5475,100.98,112.5851,509.9495
W00072,95.0564,0.0495,343.523,100.0416,113.8201,502.1226
W00073,70.4192,0.3913,375.4915,109.3052,139.4399,544.2932
W00074,98.5988,0.084,344.9981,98.6231,103.4524,500.6501
W00075,82.1576,0.4569,352.1313,100.8783,117.0833,518.8151
W00076,86.8973,0.1151,354.5869,97.5423,110.46,514.5743
W00077,84.2392,0.8361,354.6212,102.3152,116.5749,531.9157
W00078,64.4663,0.0948,375.3533,108.8733,128.1508,567.7995
W00079,98.8784,0.1273,344.0721,97.7435,103.3547,496.9929
W00080,93.4436,0.1515,344.8803,98.4561,109.4538,513.7798
W00081,67.0297,1.4744,366.7671,111.4114,140.6494,552.2921
W00082,62.8929,1.0772,373.4323,109.2753,140.0467,561.4144
W00083,67.0958,0.3354,367.3124,110.6643,134.9508,555.6632
W00084,80.8029,0.9592,365.1986,103.5628,138.4246,533.572
W00085,93.8534,0.0582,345.9416,99.5243,105.6452,507.0597
W00086,87.5291,0.1687,349.3037,102.2591,117.444,520.7236
W00087,84.2277,0.6543,359.9776,108.0482,116.7509,564.0562
W00088,78.1619,0.2197,366.0879,106.429,137.5192,529.4023
W00089,93.229,0.0532,353.7986,100.2345,111.4246,508.9818
W00090,85.2546,0.2108,362.1916,104.8023,131.9044,534.6435
W00091,94.5936,0.2929,339.8895,96.8808,120.4765,514.3564
W00092,68.3516,0.4015,372.3304,108.0098,136.7303,561.4502
W00093,67.5406,0.1454,375.7336,111.0216,127.9112,546.9138
W00094,91.1319,0.0905,357.6292,103.1039,119.8849,519.2374
W00095,85.1925,0.3737,348.4077,105.2853,117.6559,530.7412
W00096,66.67,1.1288,376.5835,109.6675,121.4576,555.8048
W00097,97.8604,0.0137,345.6369,98.7714,118.5649,500.184
W00098,67.4792,1.4729,374.4549,109.2954,129.6848,545.2989
W00099,83.1303,0.1384,349.1416,101.1219,129.4233,507.8117
W00100,100.6221,0.0723,347.2723,100.2303,99.9197,489.5654
W00101,81.1748,0.7219,366.8591,105.0865,125.5446,536.1596
W00102,99.5032,0.074,341.3506,99.5654,112.7,490.9111
W00103,91.0593,0.6206,343.6987,96.4602,121.7614,504.2024
W00104,64.9959,0.3911,371.5504,112.3537,135.8768,564.3559
W00105,61.2111,0.5132,369.3944,112.8378,139.3623,547.0262
W00106,66.3952,2.0156,380.1928,107.6958,133.9539,550.5149
W00107,70.2739,2.4022,372.0762,109.9059,140.5537,545.8533
W00108,97.0142,0.113,348.0651,95.3786,104.814,503.6315
W00109,83.3852,0.3459,362.4311,104.9392,136.1044,533.6991
W00110,88.3961,0.0034,351.0763,100.6855,122.3392,520.6662
W00111,94.8463,0.0835,349.6132,102.208,109.561,515.0967
W00112,71.9814,0.3352,363.5514,107.9472,134.1316,564.5073
W00113,87.4273,0.4988,352.9848,105.8341,107.953,529.8841
W00114,80.9793,0.2128,360.4219,99.06,116.4931,530.3398
W00115,68.1033,0.508,367.8484,109.1172,130.9194,556.4402
W00116,91.0534,0.1207,353.6884,103.3982,115.1479,513.2986
W00117,70.8828,0.5855,368.6506,106.5061,142.966,552.5939
W00118,101.0941,0.0323,351.4681,101.4313,118.8319,517.7955
W00119,99.6064,0.1025,340.6904,99.7196,115.8198,509.2873
W00120,77.7282,0.6296,367.5655,108.5677,118.5828,542.2016
W00121,77.8833,0.5914,366.0783,104.3461,119.9569,532.4668
W00122,84.7158,1.4906,348.2132,101.9523,113.6001,529.5475
W00123,98.3011,0.0469,342.392,93.5347,122.257,505.0822
W00124,78.1278,0.168,365.8852,103.1662,132.766,538.6396
W00125,69.5721,1.1602,372.4452,114.8518,140.1515,562.7056
W00126,75.9818,1.375,364.3041,104.2311,129.0703,532.2493
W00127,79.6834,2.6365,360.279,111.3607,125.5718,525.7194
W00128,80.8656,0.3961,366.2752,106.2301,135.7907,508.0368
W00129,76.0222,0.0133,364.6934,104.065,139.9934,537.0179
W00130,99.9189,0.1431,341.9178,101.1183,106.0576,502.2421
W00131,93.9994,0.2531,350.1805,99.72,118.4009,503.5716
W00132,84.8076,0.2599,348.5411,101.1416,126.0309,503.751
W00133,93.8205,0.1923,343.3185,100.0202,115.2082,516.7405
W00134,73.9212,1.0648,361.5083,105.8203,139.186,517.9936
W00135,80.5775,0.9785,361.6424,106.1721,128.1119,528.8514
W00136,72.953,0.5464,370.7085,110.0931,135.0281,543.2752
W00137,79.2975,0.5271,366.6518,101.3083,131.403,540.5936
W00138,91.0988,0.0318,339.2795,95.5526,106.4724,492.6328
W00139,77.6482,0.6286,363.7924,106.4485,147.3644,543.6866
W00140,100.7928,0.0117,349.1932,94.8599,114.5673,498.959
W00141,61.2418,1.0622,370.9327,105.47,129.6073,538.339
W00142,70.104,1.4065,370.9406,110.4873,142.3708,554.8272
W00143,82.6477,0.4718,366.2671,105.7122,124.8775,539.8748
W00144,100.9552,0.0077,342.9448,98.7412,120.3289,503.1689
W00145,79.837,0.1675,366.1728,108.0176,137.2791,543.1131
W00146,84.6091,0.0663,350.6894,102.5916,109.5453,511.3627
W00147,87.7202,1.0961,347.934,101.0155,129.2803,530.7835
W00148,93.9252,0.0679,354.5765,101.3913,123.3211,533.5705
W00149,97.4896,0.1095,338.9949,98.5676,109.1266,499.6007
W00150,89.7852,0.3822,353.6495,103.7911,114.5962,493.1035
W00151,97.8815,0.5249,347.1176,96.1009,119.3753,509.9066
W00152,69.0289,1.1247,372.64,111.6163,137.93,545.5482
W00153,77.3802,0.2877,360.6051,104.9435,121.6401,535.6301
W00154,98.4451,0.1172,340.9449,97.7211,107.8948,493.1282
W00155,80.6045,1.0541,358.4471,108.1143,126.0108,543.9971
W00156,78.8655,1.5383,364.4307,109.7897,132.638,539.7553
W00157,80.6976,1.0021,358.6375,104.986,123.0306,532.6249
W00158,91.1762,0.2266,348.7838,93.6679,118.2142,507.8094
W00159,80.7325,0.26,360.8636,105.2844,125.6354,530.0627
W00160,93.8999,0.0098,348.6077,97.7187,116.2275,488.4208
W00161,97.5478,0.0751,342.0543,95.1684,116.7149,501.4455
W00162,82.2937,0.1201,361.4597,108.0013,134.8792,550.8905
W00163,97.9487,0.0077,341.6619,97.5931,108.6362,501.6806
W00164,79.1391,0.503,357.0344,106.6227,129.0037,543.6216
W00165,99.2448,0.0254,342.8791,95.8416,107.5214,502.845
W00166,95.2357,0.0907,346.4025,95.7561,107.9451,497.4668
W00167,97.8448,0.0006,344.2345,99.4371,114.9993,505.8331
W00168,82.3944,0.338,365.81,107.8675,133.3683,537.5943
W00169,83.5536,0.0449,363.6647,105.5062,141.4306,538.6482
W00170,76.7515,0.7417,360.9065,105.054,129.4675,544.7863
W00171,68.3243,2.1407,373.3164,109.5435,138.5064,547.8103
W00172,65.2212,0.4458,371.473,108.9441,140.5686,559.8808
W00173,98.9137,0.0605,347.0907,101.5728,103.0281,520.2851
W00174,89.1358,0.0549,355.9623,99.0254,113.917,514.5065
W00175,66.5507,0.7482,367.7577,108.8711,130.798,535.2296
W00176,82.5873,0.0982,359.2965,108.1617,130.6971,533.3888
W00177,98.1215,0.0347,348.48,99.1006,117.5953,502.2455
W00178,84.9579,1.1598,366.2431,104.0372,123.2802,523.634
W00179,96.8264,0.0478,346.8662,95.0272,109.0382,510.2344
W00180,91.9567,0.4165,352.9945,105.263,105.4529,530.4376
W00181,98.0398,0.0228,341.5186,98.9023,108.5081,499.1625
W00182,82.4117,0.8936,361.2915,105.6883,126.2252,529.8573
W00183,78.1479,0.0596,361.7552,104.3802,126.5588,521.5784
W00184,87.1484,0.0381,358.0071,98.6171,132.7288,514.8271
W00185,93.352,0.0296,340.5705,100.7261,115.4551,486.2653
W00186,94.2141,0.0359,342.0834,97.0985,114.8752,505.419
W00187,74.6299,0.2558,374.0309,109.9998,133.0006,570.8925
W00188,92.9909,0.077,338.9112,96.9569,110.0075,506.4681
W00189,92.9024,0.3193,357.2068,102.5677,116.9879,492.0503
W00190,80.0736,0.1599,356.8751,106.3884,143.5399,540.6387
W00191,83.0794,0.1147,363.5471,99.9298,115.2592,519.94
W00192,65.0841,0.2122,371.9334,110.9316,143.7693,556.2857
W00193,67.3437,2.4869,370.4662,109.656,142.6369,537.9181
W00194,81.4306,0.358,364.0406,101.8658,127.0518,554.4227
W00195,71.352,2.5915,375.2834,109.0363,131.3793,559.8618
W00196,70.7127,0.0343,371.8833,113.8149,131.17,543.59
W00197,84.9902,0.0098,357.437,100.7658,124.9369,503.2773
W00198,67.7275,0.099,372.114,109.8446,147.3813,538.6327
W00199,66.6376,0.1414,371.2974,111.8093,141.9812,557.0839
W00200,72.9207,0.8314,374.5617,106.9689,134.0946,539.8143
W00201,77.9747,0.3365,361.0503,104.9221,120.3246,543.3963
W00202,93.3806,0.2453,344.5133,94.2817,109.1171,497.9753
W00203,67.9728,0.0534,369.4357,111.3875,135.9049,544.6018
